Store_Id,Product_Id,Quantity
301,201,267
301,202,87
301,203,97
301,204,358
301,205,438
301,206,93
301,207,16
301,208,226
301,209,113
301,210,442
301,211,311
301,212,367
301,213,228
301,214,232
301,215,438
301,216,2
301,217,395
301,218,374
301,219,287
301,220,414
301,221,230
301,222,125
301,223,200
301,224,85
301,225,340
301,226,255
301,227,129
301,228,186
301,229,356
301,230,275
301,231,189
301,232,324
301,233,59
301,234,412
301,235,306
301,236,325
301,237,431
301,238,364
301,239,110
301,240,63
301,241,127
301,242,235
301,243,211
301,244,262
301,245,421
301,246,252
301,247,60
301,248,247
301,249,464
301,250,364
301,251,232
301,252,403
301,253,425
301,254,154
301,255,227
301,256,136
301,257,413
301,258,352
301,259,46
301,260,282
301,261,323
301,262,492
301,263,46
301,264,28
301,265,91
301,266,380
301,267,440
301,268,172
301,269,216
301,270,472
301,271,330
301,272,219
301,273,441
301,274,19
301,275,329
301,276,457
301,277,81
301,278,201
301,279,330
301,280,463
301,281,220
301,282,472
301,283,372
301,284,167
301,285,294
301,286,130
301,287,17
301,288,20
301,289,357
301,290,87
301,291,136
301,292,497
301,293,385
301,294,82
301,295,391
301,296,319
301,297,0
301,298,482
301,299,279
301,300,451
302,201,486
302,202,274
302,203,437
302,204,456
302,205,121
302,206,118
302,207,79
302,208,113
302,209,9
302,210,192
302,211,402
302,212,192
302,213,250
302,214,158
302,215,303
302,216,346
302,217,497
302,218,206
302,219,401
302,220,321
302,221,139
302,222,369
302,223,418
302,224,445
302,225,338
302,226,287
302,227,32
302,228,97
302,229,203
302,230,80
302,231,234
302,232,479
302,233,60
302,234,241
302,235,473
302,236,40
302,237,124
302,238,443
302,239,2
302,240,332
302,241,469
302,242,213
302,243,70
302,244,373
302,245,325
302,246,75
302,247,116
302,248,230
302,249,274
302,250,1
302,251,214
302,252,428
302,253,165
302,254,129
302,255,49
302,256,7
302,257,352
302,258,129
302,259,492
302,260,121
302,261,415
302,262,18
302,263,305
302,264,322
302,265,199
302,266,45
302,267,469
302,268,23
302,269,239
302,270,176
302,271,438
302,272,227
302,273,215
302,274,23
302,275,475
302,276,424
302,277,340
302,278,199
302,279,97
302,280,377
302,281,467
