Customer_Id,Employee_Id,Order_Date,Total_Amount
543,403,2026-02-21 06:28:10,16065.22
1132,424,2024-10-29 14:47:01,91972.93
1153,421,2025-11-17 00:28:49,37568.62
571,409,2024-11-05 21:59:22,15970.75
1161,407,2025-10-01 05:17:07,50581.36
1172,446,2025-11-27 17:45:14,24432.1
517,424,2026-06-29 10:09:02,54938.65
1154,401,2025-05-06 14:07:08,70516.69
967,407,2025-05-26 18:28:08,4735.04
1064,443,2025-09-07 20:48:26,12079.42
824,437,2024-12-11 07:00:55,19314.77
1226,406,2025-07-12 07:22:22,82563.05
656,426,2025-03-18 23:58:55,9168.75
1339,435,2026-08-05 13:02:26,10221.37
597,430,2025-04-17 23:51:10,99522.2
1446,428,2025-03-08 10:09:11,42742.04
740,408,2025-12-28 18:19:25,35163.49
1080,430,2026-04-02 02:07:40,35505.95
933,417,2024-10-01 22:32:04,59670.48
617,449,2025-12-07 02:59:42,60097.96
1053,423,2024-12-04 18:51:32,26795.19
646,420,2025-07-21 22:07:29,75556.06
1189,403,2025-10-30 13:33:31,31525.66
556,421,2025-03-28 01:53:48,18661.38
711,439,2025-01-17 08:35:07,62519.05
747,440,2025-01-01 04:19:17,66745.55
904,423,2026-05-23 19:43:24,54571.75
897,405,2025-12-27 03:48:22,17933.67
700,419,2025-10-14 21:32:16,25676.3
1416,429,2025-02-04 03:07:27,52416.93
833,424,2026-05-22 19:31:31,85803.43
1142,436,2026-05-28 06:01:13,34050.91
991,409,2025-02-23 15:38:13,20911.62
1410,419,2026-05-07 22:30:51,57451.6
569,421,2025-10-17 02:53:35,31690.73
807,413,2025-09-22 18:01:00,53309.15
946,403,2026-07-14 05:38:05,48379.4
1308,402,2025-06-05 14:35:49,52628.3
1452,405,2026-07-04 05:44:32,41532.85
1454,419,2026-05-05 19:44:18,57364.18
520,409,2026-05-12 23:23:17,59913.29
976,438,2024-08-13 01:06:53,51714.14
626,440,2025-04-20 05:20:46,53951.4
918,423,2025-06-16 19:47:00,92750.76
881,431,2025-05-28 22:37:35,15317.27
893,436,2025-06-19 07:26:02,10139.15
1360,405,2025-05-20 16:17:22,10161.29
1106,412,2026-05-01 00:21:04,31614.16
1016,424,2024-12-22 15:45:12,77192.07
1258,409,2024-10-06 15:43:45,56436.8
1251,440,2026-07-03 06:49:17,21875.14
1212,409,2024-09-11 10:50:25,78282.35
518,417,2026-07-12 01:31:19,18021.89
863,446,2026-05-02 06:11:39,29103.98
1102,450,2024-11-13 10:16:28,67413.58
1435,414,2026-08-04 13:56:07,85993.28
879,418,2026-02-07 21:12:34,66581.39
517,438,2025-10-30 12:55:30,95692.48
1043,415,2025-01-31 22:42:16,94401.05
1309,412,2026-07-20 17:38:29,71561.03
935,411,2026-04-19 10:41:58,95482.96
628,407,2025-01-07 21:18:43,6328.65
1016,415,2024-11-05 18:09:46,21522.64
798,428,2024-09-23 01:55:47,41645.72
649,405,2026-05-22 12:18:35,52441.98
1073,445,2025-03-18 21:29:34,86513.1
1423,433,2024-12-14 03:25:09,16018.51
979,430,2024-10-09 04:17:21,6634.34
650,413,2024-09-27 09:33:58,51267.12
1114,427,2026-06-27 10:07:42,57534.69
1183,413,2024-10-04 01:31:18,28633.35
1057,408,2024-08-23 14:26:26,28804.5
1310,447,2025-07-20 19:55:15,14381.02
1378,448,2025-01-18 08:53:07,89221.18
1468,419,2025-04-16 23:26:03,7923.84
1157,413,2026-05-28 01:28:30,12187.65
651,405,2025-03-22 11:12:50,71645.77
832,401,2025-04-29 15:37:20,87951.3
1245,404,2024-10-22 00:21:00,95832.95
1062,435,2024-10-25 23:40:37,49771.81
1168,425,2024-09-10 03:02:57,63679.08
1222,414,2026-07-16 21:27:51,3929.8
808,422,2026-04-22 16:45:58,21477.45
1143,433,2025-02-22 10:10:59,68190.39
615,431,2025-08-25 17:06:47,52903.87
907,434,2024-09-24 06:32:25,70096.48
1272,450,2025-03-21 03:21:45,50428.29
672,441,2026-01-04 02:42:40,22871.87
1302,419,2025-07-29 01:19:17,28521.84
1338,418,2026-01-28 17:26:24,17926.53
1382,438,2025-09-25 07:31:17,99687.23
594,425,2025-08-13 14:08:50,86616.59
945,417,2025-07-08 13:22:23,3946.5
832,402,2026-05-02 09:47:38,79203.57
603,436,2026-07-10 01:34:17,8020.96
1108,409,2025-06-03 00:34:20,31846.86
1040,418,2024-12-18 13:39:06,63951.67
1373,419,2025-10-03 10:45:28,83401.96
1461,435,2026-03-15 15:02:05,56411.27
823,426,2025-05-31 04:16:01,74674.97
804,447,2025-12-25 01:54:48,83458.65
772,417,2026-05-09 20:06:01,25426.4
1206,447,2024-09-25 12:17:07,5560.97
793,442,2024-08-13 11:00:33,44938.51
1421,447,2024-11-01 08:37:02,90569.81
1325,406,2024-10-07 11:49:52,84710.57
1122,431,2025-02-26 14:59:59,80847.77
1181,415,2026-05-10 18:51:41,43934.26
623,405,2024-10-03 11:34:05,6227.75
679,424,2024-11-24 12:04:23,15246.88
771,434,2025-07-15 01:05:15,33895.62
838,404,2025-11-21 06:00:27,91138.89
601,419,2026-02-22 03:17:30,72726.36
1023,414,2026-02-01 12:33:19,37188.87
597,450,2024-08-07 17:38:05,31714.23
1452,426,2026-03-20 19:20:55,23485.07
733,424,2026-01-03 00:24:40,44060.01
1398,448,2024-12-03 11:24:20,40280.06
1391,431,2026-04-07 07:20:44,87329.75
996,403,2024-08-28 23:23:00,85572.65
541,448,2025-04-17 23:02:34,14363.8
1089,450,2026-07-18 02:19:25,83554.77
979,449,2025-02-20 08:46:20,26059.29
625,422,2026-04-08 01:47:09,81910.02
1320,413,2025-11-10 08:29:01,1229.62
904,435,2025-07-05 10:35:37,45599.58
1255,406,2024-12-03 13:34:28,65114.27
675,414,2024-11-10 15:03:55,74058.83
957,422,2024-12-21 17:22:32,25880.89
751,413,2024-12-29 04:15:18,67540.24
680,417,2026-02-01 07:23:51,28911.33
1258,431,2025-09-19 06:16:52,23067.34
826,447,2025-04-15 16:35:58,57278.64
980,433,2025-01-13 16:21:16,586.45
933,436,2026-05-27 15:09:21,88178.88
796,444,2026-03-06 08:12:02,46769.41
903,448,2024-12-27 08:04:25,44903.11
701,429,2025-03-22 06:13:18,52204.93
1243,417,2024-12-02 08:12:15,39354.21
857,442,2025-01-06 21:21:34,23412.51
639,448,2025-11-25 04:50:54,49402.81
1130,415,2026-04-22 03:36:20,31160.67
1315,449,2025-01-16 15:38:03,25027.76
941,411,2025-11-29 14:03:27,73901.11
964,446,2025-07-27 12:53:47,18802.68
1387,430,2024-09-23 13:17:07,17264.77
825,428,2024-12-11 22:42:14,59783.8
535,446,2025-11-22 09:55:12,39891.09
711,403,2025-03-14 03:04:44,850.4
1096,432,2024-12-10 23:31:04,24208.6
693,431,2024-09-14 10:55:30,46877.26
944,425,2026-05-14 00:23:56,46626.83
1133,425,2025-01-03 18:48:49,60231.61
601,431,2024-10-29 21:58:45,98262.05
1278,442,2026-03-20 08:59:38,35718.5
1185,416,2025-12-31 16:40:47,10546.54
1471,438,2025-08-04 00:26:57,79576.27
1496,448,2025-08-27 00:38:13,84745.23
967,402,2025-08-23 04:27:21,48804.95
898,415,2025-03-11 01:42:55,59881.01
1487,439,2025-12-16 20:50:54,79609.16
647,411,2024-10-28 10:22:02,41831.2
968,408,2026-02-07 03:03:21,54521.74
1478,423,2026-07-17 06:01:49,1892.32
1195,449,2025-11-19 07:14:39,9424.5
1281,445,2026-06-14 10:14:21,66730.67
1481,424,2025-02-28 11:42:00,1047.66
555,403,2025-09-05 00:11:24,93104.69
1066,427,2025-01-30 14:23:50,73097.63
760,419,2026-07-04 20:47:45,3751.4
1181,435,2024-10-11 00:04:13,53329.03
1191,406,2025-10-21 16:31:16,28380.18
1192,413,2025-12-26 19:41:42,89923.75
631,415,2025-06-02 13:48:52,10755.12
716,434,2025-01-16 13:58:15,18994.94
519,432,2025-08-24 21:06:10,7920.47
1467,429,2024-12-14 17:33:01,64550.34
503,418,2025-06-23 04:30:58,15873.79
521,416,2026-04-13 09:08:30,47235.32
661,411,2026-07-29 18:22:47,68489.71
819,422,2026-05-25 04:54:05,10245.61
1177,435,2024-11-21 07:55:40,95824.71
549,438,2026-07-17 02:29:49,23684.88
533,407,2025-04-14 13:51:53,43623.07
1276,438,2025-09-14 19:55:01,72155.3
995,429,2025-09-03 09:46:18,97028.72
805,420,2024-11-07 00:03:30,66189.13
782,420,2025-09-10 19:25:57,78889.79
991,409,2026-02-23 13:26:35,3047.42
1138,439,2025-03-10 01:54:14,82911.23
1113,440,2024-08-26 21:25:40,45350.95
810,416,2024-12-28 08:18:42,86487.44
808,449,2026-04-24 16:07:04,46424.38
1474,403,2025-09-30 18:14:20,90180.61
745,439,2024-11-16 06:19:43,57879.0
1482,431,2025-08-10 06:43:05,64487.72
1010,436,2025-10-27 02:43:06,42627.9
1466,434,2025-12-13 15:08:41,855.9
1399,422,2025-02-09 01:51:41,52043.35
1109,438,2024-09-09 20:33:48,86019.72
1037,418,2026-01-03 05:57:26,58442.56
560,409,2026-01-27 13:53:08,33238.32
971,401,2026-07-15 03:59:45,82253.54
1257,449,2025-05-17 13:27:43,58168.32
675,443,2025-05-29 16:37:22,8779.89
603,426,2026-05-02 03:40:10,64079.56
673,426,2025-07-04 01:30:44,38054.33
1224,436,2026-07-22 20:15:13,28845.16
1358,447,2025-07-01 12:01:34,25386.81
521,450,2025-09-03 00:23:25,62839.17
682,418,2026-03-08 02:18:50,3198.57
1000,424,2026-02-01 15:16:20,16319.4
1160,434,2026-04-06 02:20:15,53396.71
692,401,2026-03-27 04:12:29,37980.44
1416,428,2024-11-07 19:52:29,26606.39
988,403,2025-03-07 02:38:29,44943.12
698,423,2025-08-25 17:34:37,53609.41
926,404,2025-06-21 15:07:36,6780.66
1421,436,2025-05-10 00:15:45,21834.23
918,442,2025-05-09 23:10:57,3749.25
819,436,2025-11-09 21:18:56,90305.74
837,426,2024-11-30 23:05:47,64962.41
1308,444,2026-03-27 07:52:27,39461.89
1485,408,2026-02-04 18:00:03,71072.52
926,441,2026-03-31 19:23:36,91424.67
1305,434,2025-09-22 13:00:43,89997.96
802,409,2025-09-24 03:39:38,13134.19
1472,410,2025-01-03 01:14:13,56236.07
1388,408,2024-08-27 11:06:00,73165.01
779,441,2025-04-30 15:57:55,88970.86
780,435,2025-07-15 17:24:23,41640.93
589,432,2025-06-04 19:54:44,20052.49
594,417,2026-02-08 04:59:19,30094.01
1392,448,2025-02-28 23:36:27,27614.01
1393,404,2024-08-14 18:29:06,12802.02
